 - Love numbers from file:./DATA/REF_6371_loading_love_numbers.txt
 - Green functions for MAX degree:       32768
 - Ice density (kg/m^3):   917.00000000000000     
 - Earth density (kg/m^3):   5505.0609557847711     
 - Load half-amplitude (deg):   2.5370000000000000E-002
 - Ice thickness variation: +1 m/year
 - ======= Grid properties (the grid has costant spacing) =======
 - Min and Max colatitudes (deg):   0.0000000000000000        60.000000000000000     
 - Colatitude increment(deg):   5.0740000000000004E-003
 - Number of grid points:       11825
#
#   Line        colat, deg        vert. vel., mm/yr    hor. vel., mm/yr     geoid vel., mm/yr
#
    231       0.11670200E+01      -0.22066439E-02      -0.10092718E-02       0.10820259E-02
    232       0.11720940E+01      -0.21877749E-02      -0.10070453E-02       0.10759641E-02
    233       0.11771680E+01      -0.21787604E-02      -0.99811584E-03       0.10715132E-02
    234       0.11822420E+01      -0.21656874E-02      -0.99644187E-03       0.10664350E-02
    235       0.11873160E+01      -0.21511640E-02      -0.98754923E-03       0.10611486E-02
    236       0.11923900E+01      -0.21438844E-02      -0.98559708E-03       0.10570522E-02
    237       0.11974640E+01      -0.21244851E-02      -0.97753991E-03       0.10510307E-02
    238       0.12025380E+01      -0.21217576E-02      -0.97458084E-03       0.10477152E-02
    239       0.12076120E+01      -0.20992322E-02      -0.96797061E-03       0.10412388E-02
    240       0.12126860E+01      -0.20988827E-02      -0.96353675E-03       0.10383532E-02
    241       0.12177600E+01      -0.20756800E-02      -0.95866620E-03       0.10318147E-02
    242       0.12228340E+01      -0.20751066E-02      -0.95264762E-03       0.10289393E-02
    243       0.12279080E+01      -0.20538116E-02      -0.94943329E-03       0.10227533E-02
    244       0.12329820E+01      -0.20505726E-02      -0.94209316E-03       0.10194941E-02
    245       0.12380560E+01      -0.20333274E-02      -0.94010285E-03       0.10140041E-02
    246       0.12431300E+01      -0.20256786E-02      -0.93200937E-03       0.10100795E-02
    247       0.12482040E+01      -0.20137161E-02      -0.93056646E-03       0.10054825E-02
    248       0.12532780E+01      -0.20009809E-02      -0.92245872E-03       0.10007826E-02
    249       0.12583520E+01      -0.19943717E-02      -0.92079817E-03       0.99708909E-03
    250       0.12634260E+01      -0.19770639E-02      -0.91341737E-03       0.99169539E-03
    251       0.12685000E+01      -0.19747278E-02      -0.91085756E-03       0.98873055E-03
    252       0.12735740E+01      -0.19544082E-02      -0.90478179E-03       0.98289316E-03
    253       0.12786480E+01      -0.19543809E-02      -0.90087382E-03       0.98034000E-03
    254       0.12837220E+01      -0.19332840E-02      -0.89639307E-03       0.97441738E-03
    255       0.12887960E+01      -0.19331739E-02      -0.89101468E-03       0.97189023E-03
    256       0.12938700E+01      -0.19136942E-02      -0.88807286E-03       0.96626660E-03
    257       0.12989440E+01      -0.19112236E-02      -0.88144759E-03       0.96339813E-03
    258       0.13040180E+01      -0.18953781E-02      -0.87966281E-03       0.95839705E-03
    259       0.13090920E+01      -0.18888861E-02      -0.87230189E-03       0.95491919E-03
    260       0.13141660E+01      -0.18778739E-02      -0.87105869E-03       0.95073263E-03
    261       0.13192400E+01      -0.18666707E-02      -0.86364032E-03       0.94653355E-03
    262       0.13243140E+01      -0.18606240E-02      -0.86223170E-03       0.94318192E-03
    263       0.13293880E+01      -0.18451212E-02      -0.85544600E-03       0.93832698E-03
    264       0.13344620E+01      -0.18430995E-02      -0.85323253E-03       0.93565817E-03
    265       0.13395360E+01      -0.18246925E-02      -0.84762742E-03       0.93037100E-03
    266       0.13446100E+01      -0.18249158E-02      -0.84417770E-03       0.92809785E-03
    267       0.13496840E+01      -0.18056500E-02      -0.84003992E-03       0.92270668E-03
    268       0.13547580E+01      -0.18059127E-02      -0.83522159E-03       0.92047364E-03
    269       0.13598320E+01      -0.17880130E-02      -0.83251849E-03       0.91533560E-03
    270       0.13649060E+01      -0.17861839E-02      -0.82652070E-03       0.91279908E-03
    271       0.13699800E+01      -0.17715547E-02      -0.82491435E-03       0.90821976E-03
    272       0.13750540E+01      -0.17660489E-02      -0.81819824E-03       0.90512406E-03
    273       0.13801280E+01      -0.17558565E-02      -0.81712721E-03       0.90129035E-03
    274       0.13852020E+01      -0.17459752E-02      -0.81031697E-03       0.89752235E-03
    275       0.13902760E+01      -0.17404039E-02      -0.80912592E-03       0.89446317E-03
    276       0.13953500E+01      -0.17264699E-02      -0.80286597E-03       0.89007412E-03
    277       0.14004240E+01      -0.17247014E-02      -0.80095342E-03       0.88765717E-03
    278       0.14054980E+01      -0.17079646E-02      -0.79576427E-03       0.88284743E-03
    279       0.14105720E+01      -0.17083816E-02      -0.79271505E-03       0.88081189E-03
    280       0.14156460E+01      -0.16907193E-02      -0.78887981E-03       0.87588281E-03
    281       0.14207200E+01      -0.16912822E-02      -0.78455329E-03       0.87389992E-03
    282       0.14257940E+01      -0.16747676E-02      -0.78205948E-03       0.86918435E-03
    283       0.14308680E+01      -0.16734767E-02      -0.77661477E-03       0.86693186E-03
    284       0.14359420E+01      -0.16599120E-02      -0.77516318E-03       0.86271906E-03
