# Reference REAR geodetic observables for the Greenland example
# Green function from file: gf_Greenland.dat
# All rates are in units of mm/yr
#
#   Lon        Lat           Up          South          East         Geoid    
# --------  ----------  ------------  ------------  ------------  ------------
  333.0000     58.5000  0.711661E+00  0.135594E+00  0.922291E-01  -.475477E+00
  333.5000     58.5000  0.701800E+00  0.131606E+00  0.907301E-01  -.464133E+00
  334.0000     58.5000  0.692239E+00  0.127780E+00  0.892637E-01  -.453021E+00
  334.5000     58.5000  0.682949E+00  0.124103E+00  0.878299E-01  -.442134E+00
  335.0000     58.5000  0.673921E+00  0.120563E+00  0.864213E-01  -.431468E+00
  335.5000     58.5000  0.665138E+00  0.117156E+00  0.850374E-01  -.421019E+00
  336.0000     58.5000  0.656576E+00  0.113866E+00  0.836759E-01  -.410778E+00
  336.5000     58.5000  0.648234E+00  0.110694E+00  0.823316E-01  -.400744E+00
  337.0000     58.5000  0.640094E+00  0.107623E+00  0.810031E-01  -.390911E+00
  337.5000     58.5000  0.632147E+00  0.104655E+00  0.796914E-01  -.381275E+00
  338.0000     58.5000  0.624391E+00  0.101774E+00  0.783855E-01  -.371833E+00
  338.5000     58.5000  0.616808E+00  0.989864E-01  0.770947E-01  -.362580E+00
  339.0000     58.5000  0.609379E+00  0.962775E-01  0.758076E-01  -.353508E+00
  339.5000     58.5000  0.602115E+00  0.936444E-01  0.745273E-01  -.344619E+00
  340.0000     58.5000  0.595005E+00  0.910860E-01  0.732518E-01  -.335908E+00
  340.5000     58.5000  0.588043E+00  0.885971E-01  0.719806E-01  -.327370E+00
  341.0000     58.5000  0.581215E+00  0.861717E-01  0.707109E-01  -.319002E+00
  341.5000     58.5000  0.574517E+00  0.838076E-01  0.694441E-01  -.310800E+00
  342.0000     58.5000  0.567958E+00  0.815049E-01  0.681781E-01  -.302762E+00
  342.5000     58.5000  0.561524E+00  0.792576E-01  0.669142E-01  -.294885E+00
  343.0000     58.5000  0.555207E+00  0.770628E-01  0.656493E-01  -.287165E+00
  343.5000     58.5000  0.549008E+00  0.749195E-01  0.643851E-01  -.279599E+00
  344.0000     58.5000  0.542917E+00  0.728237E-01  0.631188E-01  -.272183E+00
  344.5000     58.5000  0.536935E+00  0.707740E-01  0.618528E-01  -.264916E+00
  345.0000     58.5000  0.531063E+00  0.687689E-01  0.605866E-01  -.257794E+00
  345.5000     58.5000  0.525288E+00  0.668058E-01  0.593196E-01  -.250814E+00
  346.0000     58.5000  0.519618E+00  0.648843E-01  0.580525E-01  -.243975E+00
  346.5000     58.5000  0.514045E+00  0.629992E-01  0.567818E-01  -.237273E+00
  347.0000     58.5000  0.508556E+00  0.611519E-01  0.555130E-01  -.230704E+00
  347.5000     58.5000  0.503164E+00  0.593401E-01  0.542430E-01  -.224268E+00
  348.0000     58.5000  0.497863E+00  0.575633E-01  0.529729E-01  -.217961E+00
  348.5000     58.5000  0.492646E+00  0.558185E-01  0.517031E-01  -.211780E+00
  349.0000     58.5000  0.487512E+00  0.541052E-01  0.504330E-01  -.205724E+00
  349.5000     58.5000  0.482462E+00  0.524210E-01  0.491634E-01  -.199790E+00
  350.0000     58.5000  0.477484E+00  0.507684E-01  0.478963E-01  -.193975E+00
  285.0000     59.0000  0.487292E+00  0.532095E-01  -.505257E-01  -.202859E+00
  285.5000     59.0000  0.492279E+00  0.547198E-01  -.519106E-01  -.208754E+00
  286.0000     59.0000  0.497372E+00  0.562606E-01  -.533112E-01  -.214786E+00
  286.5000     59.0000  0.502562E+00  0.578263E-01  -.547228E-01  -.220958E+00
  287.0000     59.0000  0.507858E+00  0.594236E-01  -.561482E-01  -.227276E+00
  287.5000     59.0000  0.513251E+00  0.610522E-01  -.575899E-01  -.233741E+00
  288.0000     59.0000  0.518746E+00  0.627173E-01  -.590499E-01  -.240359E+00
  288.5000     59.0000  0.524365E+00  0.644193E-01  -.605272E-01  -.247136E+00
  289.0000     59.0000  0.530103E+00  0.661596E-01  -.620247E-01  -.254079E+00
  289.5000     59.0000  0.535959E+00  0.679430E-01  -.635422E-01  -.261190E+00
  290.0000     59.0000  0.541962E+00  0.697694E-01  -.650807E-01  -.268479E+00
  290.5000     59.0000  0.548110E+00  0.716474E-01  -.666495E-01  -.275951E+00
  291.0000     59.0000  0.554389E+00  0.735774E-01  -.682449E-01  -.283608E+00
  291.5000     59.0000  0.560816E+00  0.755610E-01  -.698651E-01  -.291461E+00
  292.0000     59.0000  0.567418E+00  0.776058E-01  -.715193E-01  -.299518E+00
  292.5000     59.0000  0.574188E+00  0.797142E-01  -.732069E-01  -.307784E+00
  293.0000     59.0000  0.581140E+00  0.818963E-01  -.749384E-01  -.316268E+00
  293.5000     59.0000  0.588282E+00  0.841548E-01  -.767113E-01  -.324979E+00
  294.0000     59.0000  0.595649E+00  0.864931E-01  -.785270E-01  -.333928E+00
  294.5000     59.0000  0.603220E+00  0.889250E-01  -.803977E-01  -.343120E+00
  295.0000     59.0000  0.611040E+00  0.914546E-01  -.823247E-01  -.352569E+00
  295.5000     59.0000  0.619113E+00  0.940885E-01  -.843090E-01  -.362283E+00
  296.0000     59.0000  0.627456E+00  0.968415E-01  -.863631E-01  -.372275E+00
  296.5000     59.0000  0.636088E+00  0.997221E-01  -.884889E-01  -.382555E+00
  297.0000     59.0000  0.645028E+00  0.102741E+00  -.906926E-01  -.393136E+00
  297.5000     59.0000  0.654323E+00  0.105915E+00  -.929855E-01  -.404034E+00
  298.0000     59.0000  0.663983E+00  0.109257E+00  -.953711E-01  -.415261E+00
  298.5000     59.0000  0.674031E+00  0.112785E+00  -.978600E-01  -.426831E+00
  299.0000     59.0000  0.684514E+00  0.116515E+00  -.100459E+00  -.438760E+00
  299.5000     59.0000  0.695453E+00  0.120468E+00  -.103172E+00  -.451065E+00
  300.0000     59.0000  0.706910E+00  0.124669E+00  -.106014E+00  -.463765E+00
  300.5000     59.0000  0.718917E+00  0.129142E+00  -.108989E+00  -.476877E+00
  301.0000     59.0000  0.731522E+00  0.133913E+00  -.112104E+00  -.490419E+00
  301.5000     59.0000  0.744765E+00  0.139017E+00  -.115369E+00  -.504412E+00
  302.0000     59.0000  0.758720E+00  0.144486E+00  -.118789E+00  -.518876E+00
  302.5000     59.0000  0.773457E+00  0.150359E+00  -.122369E+00  -.533837E+00
  303.0000     59.0000  0.789020E+00  0.156672E+00  -.126106E+00  -.549311E+00
  303.5000     59.0000  0.805497E+00  0.163480E+00  -.130011E+00  -.565324E+00
  304.0000     59.0000  0.822964E+00  0.170818E+00  -.134067E+00  -.581899E+00
  304.5000     59.0000  0.841502E+00  0.178752E+00  -.138276E+00  -.599058E+00
  305.0000     59.0000  0.861180E+00  0.187333E+00  -.142618E+00  -.616820E+00
  305.5000     59.0000  0.882120E+00  0.196625E+00  -.147075E+00  -.635210E+00
  306.0000     59.0000  0.904425E+00  0.206702E+00  -.151618E+00  -.654250E+00
  306.5000     59.0000  0.928157E+00  0.217612E+00  -.156204E+00  -.673949E+00
  307.0000     59.0000  0.953433E+00  0.229455E+00  -.160788E+00  -.694325E+00
  307.5000     59.0000  0.980333E+00  0.242284E+00  -.165289E+00  -.715381E+00
  308.0000     59.0000  0.100896E+01  0.256187E+00  -.169625E+00  -.737119E+00
  308.5000     59.0000  0.103936E+01  0.271235E+00  -.173676E+00  -.759526E+00
  309.0000     59.0000  0.107158E+01  0.287493E+00  -.177301E+00  -.782573E+00
  309.5000     59.0000  0.110565E+01  0.305004E+00  -.180320E+00  -.806219E+00
  310.0000     59.0000  0.114146E+01  0.323794E+00  -.182517E+00  -.830379E+00
  310.5000     59.0000  0.117898E+01  0.343847E+00  -.183648E+00  -.854962E+00
  311.0000     59.0000  0.121796E+01  0.365088E+00  -.183446E+00  -.879819E+00
  311.5000     59.0000  0.125820E+01  0.387398E+00  -.181623E+00  -.904780E+00
