    n                 h                 l                 k
        285  0.5961092214D-02  0.5180883794D-05  0.1578753254D-04
        286  0.5947194308D-02  0.5155346788D-05  0.1569080438D-04
        287  0.5933395506D-02  0.5129907360D-05  0.1559505032D-04
        288  0.5919704072D-02  0.5104572423D-05  0.1550028680D-04
        289  0.5906141711D-02  0.5079351952D-05  0.1540657236D-04
        290  0.5892690749D-02  0.5054233847D-05  0.1531384013D-04
        291  0.5879348904D-02  0.5029222996D-05  0.1522207330D-04
        292  0.5866099194D-02  0.5004312488D-05  0.1513120917D-04
        293  0.5852950696D-02  0.4979506974D-05  0.1504126712D-04
        294  0.5839904673D-02  0.4954805869D-05  0.1495224164D-04
        295  0.5826930691D-02  0.4930212325D-05  0.1486403114D-04
        296  0.5814171363D-02  0.4905730905D-05  0.1477706048D-04
        297  0.5801345790D-02  0.4881330855D-05  0.1469046440D-04
        298  0.5788785653D-02  0.4857052450D-05  0.1460524396D-04
        299  0.5776216864D-02  0.4832872141D-05  0.1452055891D-04
        300  0.5763819496D-02  0.4808809352D-05  0.1443694552D-04
        301  0.5751457245D-02  0.4784838349D-05  0.1435398355D-04
        302  0.5739193138D-02  0.4760977962D-05  0.1427185594D-04
        303  0.5727021136D-02  0.4737220017D-05  0.1419053607D-04
        304  0.5714969685D-02  0.4713569388D-05  0.1411010051D-04
        305  0.5702986897D-02  0.4690020487D-05  0.1403038734D-04
        306  0.5691104973D-02  0.4666575728D-05  0.1395148421D-04
        307  0.5679302814D-02  0.4643235244D-05  0.1387332163D-04
        308  0.5667589000D-02  0.4619995527D-05  0.1379591731D-04
        309  0.5655959013D-02  0.4596861763D-05  0.1371925123D-04
        310  0.5644375739D-02  0.4573832330D-05  0.1364320892D-04
        311  0.5632975233D-02  0.4550902644D-05  0.1356817603D-04
        312  0.5621654244D-02  0.4528077619D-05  0.1349384685D-04
        313  0.5610324796D-02  0.4505355513D-05  0.1341996303D-04
        314  0.5599082968D-02  0.4482739016D-05  0.1334679456D-04
        315  0.5588016292D-02  0.4460218326D-05  0.1327458244D-04
        316  0.5576951173D-02  0.4437802783D-05  0.1320282707D-04
        317  0.5565974570D-02  0.4415492350D-05  0.1313176947D-04
        318  0.5555074775D-02  0.4393282943D-05  0.1306136997D-04
        319  0.5544306333D-02  0.4371169574D-05  0.1299177472D-04
        320  0.5533552306D-02  0.4349162412D-05  0.1292265067D-04
        321  0.5522898210D-02  0.4327254086D-05  0.1285423086D-04
        322  0.5512304471D-02  0.4305449420D-05  0.1278639949D-04
        323  0.5501791265D-02  0.4283743292D-05  0.1271920648D-04
        324  0.5491350564D-02  0.4262138868D-05  0.1265262408D-04
        325  0.5480847674D-02  0.4240660848D-05  0.1258628016D-04
        326  0.5470723839D-02  0.4219220813D-05  0.1252136936D-04
        327  0.5460529030D-02  0.4197950461D-05  0.1245666901D-04
        328  0.5450345579D-02  0.4176708859D-05  0.1239237759D-04
        329  0.5440233452D-02  0.4155607149D-05  0.1232867401D-04
        330  0.5430237142D-02  0.4134595778D-05  0.1226566514D-04
        331  0.5420256974D-02  0.4113690344D-05  0.1220307806D-04
        332  0.5410403785D-02  0.4092872853D-05  0.1214120426D-04
        333  0.5400578205D-02  0.4072161878D-05  0.1207977398D-04
        334  0.5390819264D-02  0.4051547907D-05  0.1201888626D-04
        335  0.5381171673D-02  0.4031019633D-05  0.1195865376D-04
        336  0.5371518565D-02  0.4010606831D-05  0.1189876467D-04
        337  0.5361977708D-02  0.3990277253D-05  0.1183952307D-04
        338  0.5352480018D-02  0.3970048272D-05  0.1178074351D-04
        339  0.5343043382D-02  0.3949916768D-05  0.1172246859D-04
        340  0.5333742042D-02  0.3929858149D-05  0.1166488501D-04
        341  0.5324368651D-02  0.3909937691D-05  0.1160745422D-04
        342  0.5315027039D-02  0.3890124443D-05  0.1155044134D-04
        343  0.5305935362D-02  0.3870339273D-05  0.1149439808D-04
        344  0.5296777158D-02  0.3850692486D-05  0.1143851201D-04
        345  0.5287724294D-02  0.3831123834D-05  0.1138321724D-04
        346  0.5278671887D-02  0.3811670714D-05  0.1132824392D-04
        347  0.5269742915D-02  0.3792285514D-05  0.1127389824D-04
        348  0.5260827122D-02  0.3773009671D-05  0.1121989866D-04
        349  0.5251966145D-02  0.3753827681D-05  0.1116634629D-04
        350  0.5243165243D-02  0.3734737912D-05  0.1111325054D-04
        351  0.5234444878D-02  0.3715729335D-05  0.1106065790D-04
        352  0.5225772109D-02  0.3696815095D-05  0.1100848274D-04
        353  0.5217132259D-02  0.3678001363D-05  0.1095668552D-04
        354  0.5208548322D-02  0.3659278241D-05  0.1090531941D-04
        355  0.5199992953D-02  0.3640656796D-05  0.1085431386D-04
        356  0.5191559383D-02  0.3622094284D-05  0.1080389292D-04
        357  0.5183128217D-02  0.3603644784D-05  0.1075376199D-04
        358  0.5174758949D-02  0.3585280328D-05  0.1070406247D-04
        359  0.5166414379D-02  0.3567016930D-05  0.1065470106D-04
        360  0.5158166859D-02  0.3548822978D-05  0.1060584908D-04
        361  0.5149908871D-02  0.3530744116D-05  0.1055724416D-04
        362  0.5141748675D-02  0.3512730746D-05  0.1050914311D-04
        363  0.5133608431D-02  0.3494820283D-05  0.1046135657D-04
        364  0.5125514020D-02  0.3476998980D-05  0.1041394328D-04
        365  0.5117489090D-02  0.3459243807D-05  0.1036695469D-04
        366  0.5109508473D-02  0.3441586965D-05  0.1032033048D-04
        367  0.5101578596D-02  0.3424014507D-05  0.1027408152D-04
        368  0.5093671080D-02  0.3406540980D-05  0.1022813847D-04
        369  0.5085813959D-02  0.3389151529D-05  0.1018256425D-04
        370  0.5077957376D-02  0.3371872539D-05  0.1013724003D-04
        371  0.5070257920D-02  0.3354617376D-05  0.1009252615D-04
        372  0.5062549771D-02  0.3337476484D-05  0.1004803507D-04
        373  0.5054859351D-02  0.3320434346D-05  0.1000382577D-04
        374  0.5047206310D-02  0.3303480336D-05  0.9959941146D-05
        375  0.5039637389D-02  0.3286588524D-05  0.9916485546D-05
        376  0.5032063680D-02  0.3269805576D-05  0.9873252496D-05
        377  0.5024568835D-02  0.3253085761D-05  0.9830430539D-05
        378  0.5017094795D-02  0.3236460964D-05  0.9787884922D-05
        379  0.5009658785D-02  0.3219920956D-05  0.9745652338D-05
        380  0.5002296309D-02  0.3203444371D-05  0.9703810107D-05
        381  0.4994942801D-02  0.3187068339D-05  0.9662210342D-05
        382  0.4987642591D-02  0.3170765986D-05  0.9620950195D-05
        383  0.4980365869D-02  0.3154554636D-05  0.9579960653D-05
